datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-22 20:01:00,7,6,22,20,1,0,70622200100,173,2007-06-22 20:01:00
2007-06-22 20:14:00,7,6,22,20,14,0,70622201400,173,2007-06-22 20:14:00
2007-06-22 20:29:59,7,6,22,20,29,59,70622202959,173,2007-06-22 20:29:59
2007-06-22 20:43:59,7,6,22,20,43,59,70622204359,173,2007-06-22 20:43:59
2007-06-22 21:02:59,7,6,22,21,2,59,70622210259,173,2007-06-22 21:02:59
2007-06-22 21:15:59,7,6,22,21,15,59,70622211559,173,2007-06-22 21:15:59
2007-06-22 21:40:59,7,6,22,21,40,59,70622214059,173,2007-06-22 21:40:59
2007-06-22 21:53:59,7,6,22,21,53,59,70622215359,173,2007-06-22 21:53:59
2007-06-22 22:04:59,7,6,22,22,4,59,70622220459,173,2007-06-22 22:04:59
2007-06-22 22:20:59,7,6,22,22,20,59,70622222059,173,2007-06-22 22:20:59
2007-06-22 22:48:00,7,6,22,22,48,0,70622224800,173,2007-06-22 22:48:00
2007-06-22 23:00:00,7,6,22,23,0,0,70622230000,173,2007-06-22 23:00:00
2007-06-22 23:11:00,7,6,22,23,11,0,70622231100,173,2007-06-22 23:11:00
2007-06-22 23:32:00,7,6,22,23,32,0,70622233200,173,2007-06-22 23:32:00
2007-06-22 23:46:00,7,6,22,23,46,0,70622234600,173,2007-06-22 23:46:00
2007-06-23 00:08:00,7,6,23,0,8,0,70623000800,174,2007-06-23 00:08:00
2007-06-23 00:27:00,7,6,23,0,27,0,70623002700,174,2007-06-23 00:27:00
2007-06-23 00:48:00,7,6,23,0,48,0,70623004800,174,2007-06-23 00:48:00
2007-06-23 01:32:00,7,6,23,1,32,0,70623013200,174,2007-06-23 01:32:00
2007-06-23 01:59:00,7,6,23,1,59,0,70623015900,174,2007-06-23 01:59:00
2007-06-23 02:10:00,7,6,23,2,10,0,70623021000,174,2007-06-23 02:10:00
2007-06-23 02:20:59,7,6,23,2,20,59,70623022059,174,2007-06-23 02:20:59
2007-06-23 03:34:59,7,6,23,3,34,59,70623033459,174,2007-06-23 03:34:59
2007-06-23 04:04:59,7,6,23,4,4,59,70623040459,174,2007-06-23 04:04:59
2007-06-23 04:18:59,7,6,23,4,18,59,70623041859,174,2007-06-23 04:18:59
2007-06-23 04:45:00,7,6,23,4,45,0,70623044500,174,2007-06-23 04:45:00
2007-06-23 04:57:00,7,6,23,4,57,0,70623045700,174,2007-06-23 04:57:00
2007-06-23 05:17:00,7,6,23,5,17,0,70623051700,174,2007-06-23 05:17:00
2007-06-23 05:37:00,7,6,23,5,37,0,70623053700,174,2007-06-23 05:37:00
2007-06-23 06:16:00,7,6,23,6,16,0,70623061600,174,2007-06-23 06:16:00
2007-06-23 06:37:00,7,6,23,6,37,0,70623063700,174,2007-06-23 06:37:00
2007-06-23 07:05:59,7,6,23,7,5,59,70623070559,174,2007-06-23 07:05:59
2007-06-23 07:18:59,7,6,23,7,18,59,70623071859,174,2007-06-23 07:18:59
2007-06-23 07:53:59,7,6,23,7,53,59,70623075359,174,2007-06-23 07:53:59
2007-06-23 08:22:59,7,6,23,8,22,59,70623082259,174,2007-06-23 08:22:59
2007-06-23 08:35:59,7,6,23,8,35,59,70623083559,174,2007-06-23 08:35:59
2007-06-23 09:01:59,7,6,23,9,1,59,70623090159,174,2007-06-23 09:01:59
2007-06-23 09:28:00,7,6,23,9,28,0,70623092800,174,2007-06-23 09:28:00
2007-06-23 10:25:00,7,6,23,10,25,0,70623102500,174,2007-06-23 10:25:00
2007-06-23 10:40:00,7,6,23,10,40,0,70623104000,174,2007-06-23 10:40:00
